Array Size,Time (s),Memory (KB)
100,9.870529174804688e-05,0.0
1000,0.0019528865814208984,0.3125
10000,0.03661918640136719,0.53125
100000,0.5584347248077393,0.71875
1000000,8.496575593948364,0.90625
10000000,105.56723546981812,1.15625
