Array Size,Time (s),Memory (KB)
100,0.00011897087097167969,0.0
1000,0.0025954246520996094,0.3125
10000,0.04274177551269531,0.5625
100000,0.6194329261779785,0.75
1000000,9.281282663345337,0.9375
10000000,110.72695589065552,1.1875
